hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
City Hotel,39,2016,March,13,25,2,2,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,134.1,0,0,Canceled,2016-02-16,Matthew Colon,Matthew_Colon@outlook.com,869-587-8024,************5895
City Hotel,137,2017,June,25,23,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,125.0,0,0,Canceled,2017-02-06,Michelle Vasquez,MVasquez@protonmail.com,793-094-8192,************8348
Resort Hotel,16,2016,May,21,19,0,1,1,0.0,0,BB,,Corporate,Corporate,0,1,3,A,A,0,No Deposit,,82.0,0,Transient,42.0,0,0,Check-Out,2016-05-20,Jessica Carroll,Carroll_Jessica67@yandex.com,866-093-8669,************3183
City Hotel,0,2016,October,44,28,0,1,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,150.0,0,0,Check-Out,2016-10-29,Leslie Edwards,Leslie.E@att.com,987-507-0405,************9553
Resort Hotel,2,2016,March,11,12,2,5,2,0.0,0,BB,PRT,Direct,Direct,1,0,1,E,E,1,No Deposit,250.0,,0,Transient,71.81,1,0,Check-Out,2016-03-19,Kimberly Warren,Warren.Kimberly@verizon.com,155-811-0520,************2505
Resort Hotel,193,2017,May,19,13,2,5,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,36.2,0,0,Check-Out,2017-05-20,Catherine Mcdaniel,Catherine_Mcdaniel91@outlook.com,939-183-9348,************9963
Resort Hotel,157,2015,August,34,17,2,5,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,187.0,0,2,Canceled,2015-03-24,Christian Rhodes,CRhodes@mail.com,764-841-3192,************5818
Resort Hotel,206,2017,August,34,21,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,160.0,0,0,Canceled,2017-03-15,Joy Terry,Terry_Joy@hotmail.com,490-359-3386,************1941
Resort Hotel,170,2015,October,41,4,4,8,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,Non Refund,15.0,,0,Transient,44.5,0,0,Canceled,2015-07-17,Natalie Washington,Natalie_Washington@att.com,979-173-4458,************1419
City Hotel,301,2016,July,31,30,1,1,2,0.0,0,HB,ROU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-08-01,Jerry Henson,Jerry.H86@zoho.com,163-982-5615,************6746
Resort Hotel,188,2017,April,18,30,4,7,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,80.85,0,0,Canceled,2017-02-09,Kristen Porter,Porter_Kristen@hotmail.com,455-795-8543,************9950
City Hotel,77,2017,February,6,10,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,86.0,,0,Transient,77.52,0,0,Check-Out,2017-02-14,Amy Ramos,Amy.R@xfinity.com,720-160-3844,************7682
City Hotel,39,2016,July,30,20,0,2,2,2.0,0,BB,TUR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,198.9,0,0,Canceled,2016-06-15,Shannon Gaines,ShannonGaines@mail.com,140-701-4321,************6300
City Hotel,126,2016,December,53,27,0,3,2,1.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,,0,Transient,90.53,0,2,Check-Out,2016-12-30,Melissa Glover,Melissa.Glover@protonmail.com,381-116-5283,************1976
City Hotel,25,2017,January,3,19,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.74,0,0,Check-Out,2017-01-23,Isaiah Jones,IJones@yahoo.com,807-945-8091,************1607
City Hotel,69,2015,October,44,25,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,58,Transient-Party,85.67,0,0,Check-Out,2015-10-28,Miss April Wong,Miss_Wong@protonmail.com,649-061-6854,************5606
Resort Hotel,54,2016,August,35,22,1,4,3,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,322.0,0,1,Canceled,2016-08-11,Todd Solomon,Todd.Solomon@hotmail.com,405-281-9938,************5219
City Hotel,170,2017,August,33,15,0,1,2,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.5,1,1,Check-Out,2017-08-16,Becky Scott,Scott.Becky@yandex.com,169-626-0782,************8410
City Hotel,6,2017,August,32,10,0,3,2,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,166.67,0,2,Check-Out,2017-08-13,Lindsay Taylor,Taylor.Lindsay@xfinity.com,125-456-1768,************1414
Resort Hotel,148,2017,March,11,16,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,42.0,0,1,Canceled,2017-01-14,Katherine Lucas,Lucas.Katherine@yahoo.com,598-301-6769,************4121
City Hotel,125,2017,April,15,14,2,2,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.5,0,0,Canceled,2016-12-12,Hannah Foster,HannahFoster@aol.com,162-124-9709,************4349
Resort Hotel,107,2016,December,53,25,2,3,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,2,No Deposit,240.0,,0,Transient,59.5,0,1,Canceled,2016-12-08,Karen Miller,KarenMiller@comcast.net,782-138-7279,************4992
City Hotel,131,2017,June,26,27,0,5,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.02,0,1,Canceled,2017-02-21,Gregory Aguilar,Gregory_A40@yahoo.com,915-472-2792,************3242
Resort Hotel,107,2016,June,24,8,2,5,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,106.0,0,1,Check-Out,2016-06-15,James Arroyo,JamesArroyo73@xfinity.com,530-583-0272,************7063
Resort Hotel,67,2015,August,35,23,4,6,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,137.65,0,1,Check-Out,2015-09-02,Gary Avila,Gary.A@comcast.net,467-289-0305,************3472
Resort Hotel,0,2017,January,3,18,0,1,1,0.0,0,BB,PRT,Direct,Direct,1,0,3,A,A,1,No Deposit,,,0,Transient,59.0,1,1,Check-Out,2017-01-19,Erik Drake,Erik.Drake@protonmail.com,407-367-7877,************3979
City Hotel,346,2016,September,38,13,0,2,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,6.0,,0,Transient-Party,90.0,0,0,Check-Out,2016-09-15,Jose Rhodes,Jose_R@protonmail.com,539-086-2814,************1299
City Hotel,280,2016,November,47,16,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.95,0,1,Canceled,2016-03-11,Casey Smith,Casey.Smith@gmail.com,262-705-3014,************5123
City Hotel,552,2017,January,2,12,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21,Danielle Brown,Danielle.Brown@comcast.net,248-152-9862,************8628
City Hotel,58,2017,August,31,2,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,0,Check-Out,2017-08-04,Scott Casey,Scott.C@outlook.com,619-318-7798,************9001
City Hotel,336,2016,September,39,21,1,4,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,78.0,0,0,Check-Out,2016-09-26,Cassandra Mcpherson,Cassandra_Mcpherson@hotmail.com,447-886-9506,************5796
Resort Hotel,105,2017,August,32,11,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,239.0,1,1,Check-Out,2017-08-18,Anthony Collier,Anthony.C@yandex.com,494-631-8709,************3508
Resort Hotel,156,2017,May,19,8,2,5,2,0.0,0,HB,IRL,Groups,TA/TO,0,0,0,D,D,0,No Deposit,434.0,,0,Transient-Party,92.0,0,0,Check-Out,2017-05-15,Jessica Lee,JessicaLee@zoho.com,227-962-6112,************2542
Resort Hotel,75,2015,November,48,24,2,5,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,115.0,,0,Transient,23.93,0,0,Check-Out,2015-12-01,Tracey Pennington,Tracey_Pennington72@mail.com,487-384-9846,************2288
City Hotel,151,2016,January,4,19,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,19.0,,63,Transient-Party,80.0,0,0,Canceled,2016-01-07,Timothy Weaver,Timothy_Weaver@mail.com,897-713-5040,************2747
City Hotel,3,2016,June,26,22,0,2,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,123.0,0,0,Check-Out,2016-06-24,Austin Petty,AustinPetty@yahoo.com,290-112-3154,************8701
City Hotel,407,2017,May,18,6,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0,Canceled,2016-04-17,Zachary Jones,ZacharyJones@protonmail.com,661-831-5355,************5299
City Hotel,30,2016,August,35,23,1,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,179.25,0,1,Check-Out,2016-08-29,Rachael Cruz,Cruz_Rachael@zoho.com,174-620-6064,************4362
Resort Hotel,155,2015,October,44,31,0,1,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,36.0,0,0,Canceled,2015-10-26,Erika Murray,Murray_Erika@aol.com,618-430-1217,************1811
City Hotel,5,2016,November,48,20,1,0,1,1.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,45.0,0,Transient,47.5,1,1,Check-Out,2016-11-21,Dr. Laura Hernandez,Dr._H22@comcast.net,773-946-7538,************5541
City Hotel,94,2017,March,12,24,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,C,1,No Deposit,85.0,,0,Transient,72.0,0,1,Check-Out,2017-03-27,Michelle Marks,Michelle_M@protonmail.com,337-177-8780,************2091
City Hotel,0,2016,July,30,20,0,1,1,0.0,0,BB,GRC,Aviation,Corporate,0,0,0,A,A,0,No Deposit,,153.0,0,Transient,79.0,0,0,Check-Out,2016-07-21,Emma Brown DDS,Emma.D@protonmail.com,502-171-9588,************6357
City Hotel,189,2017,June,22,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-11-25,Karen Burton,Karen_B82@zoho.com,874-899-0258,************9985
Resort Hotel,211,2016,September,37,7,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,0,Non Refund,1.0,,0,Transient,89.0,0,0,Canceled,2016-02-09,Katherine Jackson,Katherine.Jackson@verizon.com,288-482-0618,************7998
City Hotel,4,2015,December,53,31,2,7,2,0.0,0,SC,TUR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,90.78,0,2,Check-Out,2016-01-09,Logan Hardy,Hardy.Logan23@outlook.com,887-970-5151,************2833
Resort Hotel,27,2017,July,30,25,0,5,3,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,253.54,0,0,Check-Out,2017-07-30,Timothy Torres,Timothy.T@zoho.com,604-086-9712,************6628
City Hotel,55,2016,June,27,26,2,0,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,148.8,1,2,Check-Out,2016-06-28,Kimberly Dunn,Dunn_Kimberly@protonmail.com,589-760-8300,************2164
Resort Hotel,336,2016,September,38,15,2,3,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,,223.0,0,Transient-Party,73.2,0,0,Check-Out,2016-09-20,Brandi Sanchez,BrandiSanchez@outlook.com,134-593-4285,************9164
City Hotel,63,2016,January,4,19,0,3,1,0.0,0,BB,BGR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,19.0,,0,Transient-Party,71.0,0,0,Check-Out,2016-01-22,Frederick Santos,FrederickSantos54@comcast.net,813-020-2637,************7980
City Hotel,92,2017,March,11,15,0,3,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,85.0,0,0,Canceled,2016-12-13,Ms. Deborah Baker,Baker.Ms.@aol.com,499-206-5601,************5269
City Hotel,7,2017,March,11,18,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,82.69,0,2,Canceled,2017-03-11,Mitchell Martin,Martin.Mitchell@aol.com,767-810-6280,************6679
City Hotel,151,2017,March,12,20,1,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,37.0,,0,Transient-Party,85.0,0,1,Check-Out,2017-03-22,Marilyn Martinez,Marilyn_Martinez@att.com,536-015-9070,************2470
City Hotel,40,2017,February,8,25,2,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,125.8,0,2,Check-Out,2017-03-01,Jennifer Lowe,JenniferLowe@mail.com,923-709-4548,************3209
City Hotel,164,2017,January,5,30,3,5,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,1,Canceled,2017-01-05,Stephen Simon,SSimon@comcast.net,655-981-5414,************1043
Resort Hotel,162,2016,March,10,4,6,15,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,96.0,,0,Transient,82.0,0,0,Canceled,2015-11-03,Steven Lane,Lane_Steven@yandex.com,717-304-1293,************5632
Resort Hotel,11,2015,October,44,30,1,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,177.0,,0,Transient-Party,56.0,1,1,Check-Out,2015-11-02,Matthew Bass,MatthewBass70@verizon.com,867-612-6022,************7427
Resort Hotel,10,2017,August,34,26,2,5,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,176.86,1,1,Check-Out,2017-09-02,Sheila Winters,Sheila_W@protonmail.com,152-380-2373,************9350
City Hotel,192,2017,May,20,19,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,44.0,,17,Transient,90.0,0,0,Canceled,2016-11-25,Cesar Pearson,Cesar_Pearson@zoho.com,417-768-8676,************6660
Resort Hotel,38,2016,December,52,24,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,0,Canceled,2016-11-16,Joel Johnson,JoelJohnson11@comcast.net,888-761-8677,************2528
City Hotel,462,2017,July,26,1,2,2,2,0.0,0,BB,AUS,Groups,TA/TO,0,0,0,A,A,1,No Deposit,229.0,,0,Transient-Party,107.0,0,1,Check-Out,2017-07-05,Scott Carter,ScottCarter@aol.com,667-646-2027,************1327
City Hotel,111,2017,April,14,3,1,1,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,95.0,0,1,Check-Out,2017-04-05,Zachary Bishop,ZacharyBishop46@xfinity.com,938-842-8748,************9498
Resort Hotel,2,2017,April,15,12,0,1,1,0.0,0,HB,SRB,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,59.0,0,Transient,89.0,0,0,Check-Out,2017-04-13,Karen Bell,KarenBell@att.com,875-725-4044,************5195
City Hotel,141,2017,July,28,10,1,2,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,89.1,0,0,Check-Out,2017-07-13,Mr. Tyler Lewis,Lewis.Mr.98@mail.com,498-841-3022,************1601
City Hotel,5,2015,October,41,4,6,13,1,0.0,0,BB,BRA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,93.0,0,Transient,95.0,0,1,Check-Out,2015-10-23,Susan Johnson,Susan.J67@mail.com,246-990-8044,************9063
City Hotel,46,2015,August,34,17,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-08-19,Molly Howard,MollyHoward@mail.com,319-447-8105,************5379
Resort Hotel,1,2017,March,9,2,0,1,1,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient-Party,68.0,0,0,Check-Out,2017-03-03,Riley Lewis,Riley_Lewis74@protonmail.com,228-153-9694,************4216
Resort Hotel,386,2016,October,43,20,1,3,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,49.0,0,0,Canceled,2016-09-14,Timothy Delgado,Delgado_Timothy92@xfinity.com,251-315-6627,************7476
City Hotel,143,2016,August,35,26,0,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.5,0,0,Check-Out,2016-08-27,Stephanie Farrell,Stephanie_F@yandex.com,262-631-8344,************8753
Resort Hotel,1,2015,October,41,6,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,,,0,Transient-Party,55.0,0,1,Check-Out,2015-10-07,Nicole Schwartz,NicoleSchwartz@hotmail.com,505-617-9415,************9384
City Hotel,131,2015,August,33,15,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Check-Out,2015-08-18,Janet Walker,Walker.Janet27@yahoo.com,731-763-7980,************8885
City Hotel,74,2015,September,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0,Check-Out,2015-09-20,Joshua Hinton,Joshua_H@hotmail.com,442-484-3198,************8657
City Hotel,115,2016,February,9,27,2,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,134.0,,0,Transient-Party,76.0,0,0,Check-Out,2016-03-02,Miranda Booker,MirandaBooker@comcast.net,669-504-9336,************1179
City Hotel,93,2017,May,19,13,0,1,2,0.0,0,BB,USA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,148.5,0,1,Check-Out,2017-05-14,Gregory Davis,GregoryDavis48@zoho.com,973-190-0030,************1658
Resort Hotel,250,2016,December,52,20,2,7,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,88.4,0,0,Canceled,2016-04-18,Brandon Chang,Brandon.Chang@comcast.net,359-359-8909,************3925
Resort Hotel,86,2015,December,53,31,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,3,No Deposit,250.0,,0,Transient,73.35,0,1,Check-Out,2016-01-02,Phillip Strickland,Strickland.Phillip@yandex.com,515-536-3347,************5725
City Hotel,168,2016,April,17,22,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,,77,Transient,85.0,0,0,Canceled,2016-01-22,Mark Anderson,Mark_Anderson@comcast.net,534-000-4826,************3511
Resort Hotel,63,2015,October,44,29,3,8,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,56.02,0,0,Canceled,2015-09-29,Christina Taylor,Christina.T@hotmail.com,850-513-1039,************1850
City Hotel,38,2016,November,45,4,1,2,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,118.0,0,2,Check-Out,2016-11-07,Ann Richardson,Richardson.Ann@zoho.com,246-963-3345,************6134
City Hotel,189,2017,May,18,5,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,100.0,0,0,Canceled,2017-03-10,Barbara Grant,Barbara.G@zoho.com,628-004-5482,************6407
City Hotel,234,2017,July,28,12,0,4,3,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,156.6,0,0,Check-Out,2017-07-16,Devin Morgan,DMorgan40@aol.com,431-216-0139,************7209
City Hotel,236,2017,June,22,3,1,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,138.6,0,2,Check-Out,2017-06-05,Michael Alvarado,Alvarado.Michael@mail.com,626-970-5362,************6352
Resort Hotel,48,2016,November,47,16,1,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,37.8,0,2,Check-Out,2016-11-21,April Wright,AWright75@outlook.com,538-203-7770,************1298
City Hotel,97,2015,October,41,5,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0,Canceled,2015-07-03,Wesley Mitchell,Wesley.Mitchell@mail.com,759-658-3405,************7737
City Hotel,106,2015,December,49,4,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,72.25,0,2,Canceled,2015-10-07,Richard Newton,RNewton@hotmail.com,741-326-4749,************7503
City Hotel,65,2017,March,10,11,1,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Check-Out,2017-03-13,Angela Cruz,Angela_Cruz43@protonmail.com,971-782-6344,************5273
Resort Hotel,47,2015,July,31,29,2,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,148.63,0,1,Canceled,2015-06-17,Cynthia Leon,Leon.Cynthia@yandex.com,807-612-9759,************7264
City Hotel,0,2017,June,26,28,0,1,1,0.0,0,BB,PRT,Aviation,Corporate,0,0,0,A,A,0,No Deposit,,153.0,0,Transient,95.0,0,0,Canceled,2017-06-28,Breanna Dougherty,BreannaDougherty@verizon.com,182-833-6885,************7846
City Hotel,91,2016,August,35,21,2,0,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9.0,,0,Transient,134.1,0,0,Check-Out,2016-08-23,Eric Richardson,Eric.R39@xfinity.com,692-967-3494,************3104
Resort Hotel,8,2016,October,41,6,1,3,2,2.0,0,BB,GBR,Groups,Corporate,0,0,0,C,C,1,No Deposit,,405.0,0,Transient-Party,82.0,0,0,Check-Out,2016-10-10,Laura Reyes,Reyes_Laura@gmail.com,626-439-1142,************2423
